outages,crimes,crime time,outage creation date,outage completion date,crime latitude,crime longitude,during out
1,3744,02/05/2016 01:00:00 PM,01/01/2016,01/07/2016,41.863274055,-87.71533241899999,False
1,16408,06/06/2016 07:30:00 AM,01/01/2016,01/07/2016,41.862850731,-87.715710949,False
1,17777,06/18/2016 12:55:00 AM,01/01/2016,01/07/2016,41.862850968000004,-87.715755,False
1,19327,06/30/2016 04:20:00 PM,01/01/2016,01/07/2016,41.862853002,-87.71562282,False
1,21697,07/18/2016 12:25:00 AM,01/01/2016,01/07/2016,41.862850731,-87.715710949,False
1,26915,08/29/2016 07:05:00 PM,01/01/2016,01/07/2016,41.862850968000004,-87.715755,False
3,3383,02/01/2016 09:00:00 PM,01/01/2016,01/04/2016,41.737690888,-87.603636489,False
3,7728,03/18/2016 12:00:00 AM,01/01/2016,01/04/2016,41.737729305,-87.603636055,False
3,27341,08/31/2016 07:00:00 AM,01/01/2016,01/04/2016,41.7375811,-87.60363406799999,False
3,42709,12/25/2016 09:19:00 PM,01/01/2016,01/04/2016,41.7375811,-87.60363406799999,False
3,42710,12/25/2016 10:20:00 PM,01/01/2016,01/04/2016,41.7375811,-87.60363406799999,False
5,185,01/01/2016 11:40:00 PM,01/01/2016,01/06/2016,41.731299509,-87.655636683,True
5,24134,08/07/2016 11:00:00 PM,01/01/2016,01/06/2016,41.731455968,-87.655642365,False
9,26810,08/27/2016 08:20:00 PM,01/01/2016,01/04/2016,41.811885607,-87.695878991,False
13,13860,05/15/2016 04:00:00 PM,01/02/2016,01/05/2016,41.793417728,-87.710092495,False
13,31596,10/06/2016 07:40:00 PM,01/02/2016,01/05/2016,41.793415839,-87.7102502,False
13,41735,12/31/2016 06:55:00 PM,01/02/2016,01/05/2016,41.793427308000005,-87.709329636,False
16,30683,09/28/2016 12:45:00 PM,01/02/2016,01/06/2016,41.862866691,-87.714088165,False
16,33415,10/21/2016 09:00:00 AM,01/02/2016,01/06/2016,41.862868089,-87.71383851700001,False
16,34404,10/28/2016 11:15:00 AM,01/02/2016,01/06/2016,41.862864481,-87.714187307,False
16,41152,12/26/2016 07:50:00 PM,01/02/2016,01/06/2016,41.862866691,-87.714088165,False
19,26165,08/23/2016 11:00:00 PM,01/02/2016,01/04/2016,41.903168871999995,-87.75463178,False
