street,crimes during out,crimes in buffer,rate,long,lat
1 E 118TH ST,0,2,0.0,-87.62271625108899,41.67985031190561
1 E 63RD ST,0,12,0.0,-87.62537484950252,41.78005828631546
1 E 69TH ST,2,2,1.0,-87.62494235159393,41.769194040177716
1 E WACKER DR,0,1,0.0,-87.6279750042498,41.886813654150075
1 N CENTRAL AVE,0,12,0.0,-87.76486366329229,41.88024599100926
1 N WACKER DR,0,1,0.0,-87.63676618407658,41.88191653198806
1 S CICERO AVE,0,6,0.0,-87.74527756103106,41.88049799827332
1 S HOMAN AVE,0,1,0.0,-87.71100553631128,41.880916842375655
1 W 15TH ST,0,1,0.0,-87.62729064754433,41.86195387613785
1 W 36TH ST,0,4,0.0,-87.62651977843672,41.82918311594792
1 W 63RD ST,0,6,0.0,-87.62537484950252,41.78005828631546
1 W 75TH ST,0,2,0.0,-87.6247579817413,41.758181566185925
1 W 87TH ST,1,14,0.07142857142857142,-87.62416057023711,41.73629942640984
1 W GARFIELD BLVD,0,10,0.0,-87.62569132898987,41.794300282125505
1 W HARRISON ST,1,16,0.0625,-87.62761115197685,41.87455239842202
1 W LOWER WACKER DR,0,1,0.0,-87.6279870638437,41.88678892886754
1 W OAK ST,0,3,0.0,-87.62831276103078,41.90059290375451
10 E 107TH ST,0,1,0.0,-87.62296924821274,41.69987620923713
10 W 17TH ST,1,1,1.0,-87.62757747757477,41.85899549618031
100 E 111TH ST,0,7,0.0,-87.6210477492012,41.692605791388004
100 E 115TH ST,0,2,0.0,-87.62080443384762,41.685346062108295
100 E 125TH PL,0,1,0.0,-87.6200866837689,41.666358949247844
100 E 18TH ST,0,2,0.0,-87.62393332317278,41.857877983837966
100 E 26TH ST,0,2,0.0,-87.62339191494672,41.845641902141544
100 E 35TH ST,0,6,0.0,-87.62325718514387,41.831043778089146
100 E 51ST ST,0,5,0.0,-87.62264934377308,41.802000878969935
100 E 57TH ST,0,2,0.0,-87.62237286089932,41.79106996217275
